软件包名,测试套名
aspell,aspell.json
atune,atune.json
ceph,ceph.json
clang,clang.json
curl,curl.json
docker-engine,docker-engine.json
fmt,fmt.json
fwupd,fwupd.json
iio-sensor-proxy,iio-sensor-proxy.json
java-1.8.0-openjdk,java-1.8.0-openjdk.json
jemalloc,jemalloc.json
jq,jq.json
libiec61883,libiec61883.json
libvpx,libvpx.json
mpg123,mpg123.json
ndctl,ndctl.json
perl-Date-Manip,perl-Date-Manip.json
wavpack,wavpack.json
lzo,lzo-lzop.json
lzop,lzo-lzop.json
autoconf,autoconf213.json
enchant2,enchant2_2.2.15.json/enchant2_2.3.3.json
hwloc,hwloc_1.11.9.json/hwloc_2.7.1.json
libpng,libpng12.json
tpm-quote-tools,tpm-quote-tools_20.03.json
tpm-tools,tpm-tools_20.03.json
units,units_2.17.json/units_2.21.json
yelp,yelp-tools.json
