软件包名,测试套名,是否已经测试
compat-openssl11,,
containers-common,,
duktape,,
edk2,libguestfs,否
evince,,
gtk-vnc,,
jitterentropy-library,,
libslirp,,
libtdb,,
libtraceevent,,
liburing,,
libvirt-python,,
libwd,,
libvirt,libvirt,是
mutter,,
nautilus,,
prefetch_tuning,,
xdg-desktop-portal,,
xdg-desktop-portal-gtk ,,
amanda,amanda,是
aspell,aspell,否
atune,atune,否
bolt,bolt,是
bpftrace,,
chrony,chrony,是
cjson,,
clevis,clevis,是
cloud-init,cloud-init,是
compiler-rt,,
cpio,cpio,是
cxl-libs,,
daxctl-libs,,
dhcp,dhcp,是
dim,,
dmraid,os-basic,是
double-conversion,,
efibootmgr,,
efivar,,
ethtool,os-basic,是
firewalld,firewalld,是
fmt,fmt,否
freeradius,freeradius,是
fwupd,fwupd,否
gcab,,
genisoimage,,
gjs,,
golang,smoke-basic-os,是
gssdp,,
guile,,
gupnp,,
gvnc,,
hiredis,,
hwloc,hwloc_1.11.9/hwloc_2.7.1,否
iniparser,,
iperf3,iperf3,是
ipvsadm,ipvsadm,是
jemalloc,jemalloc,否
jimtcl,,
jose,,
jq,jq,否
kpartx,multipath-tools,是
lame,,
lcr,iSulad,是
libacl,,
libadwaita,,
libargon2,,
libatomic,,
libcbor,,
libcgroup,libcgroup,是
libcloudproviders,,
libxmlb,,
lmdb,lmdb,是
lorax,lorax,是
lsof,smoke-basic-os,是
luksmeta,cryptsetup/clevis,是（clevis）
mokutil,,
mozjs102,,
mutter,,
mysql,mysql,是
nscd,glibc,否
ntp,ntp,是
ntpstat,os-basic,是
oniguruma,,
openldap,openldap,是
ostree,ostree,是
pcp,pcp,是
pesign,pesign,是
pipewire,,
pulseaudio,,
pixman,pixman,是
pngquant,pngquant,是
policycoreutils,policycoreutils,是
pprof,os-basic,是
protobuf,protobuf,是
rasdaemon,rasdaemon,是
rdma-core,rdma-core,是
rpcbind,rpcbind,是
rrdtool,rrdtool,是
rsyslog,rsyslog,是
ruby,ruby,是
rubygems,ruby/rubygem-ZenTest/rubygem-fluentd,是（ruby）
satyr,,
serd,,
sord,,
spice-vdagent,spice-vdagent,是
squid,squid,是
sratom,,
sscg,,
sssd,sssd,是
startup-notification,,
strongswan,strongswan,是
tcl,os-basic,是
twolame,,
uchardet,tidy,否
unbound,unbound,是
vala,,
vdo,vdo,是
wavpack,wavpack,否
wayland,,
webkit2gtk3,,
xorriso,,
yum,dnf,是
zsh,,
