测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
meson_0.54,24,16,8,,30,230,106,124
cht,2,2,0
keepalived-issue,1,0,1
readarray,1,1,0
lzo-lzop,1,1,0
libguestfs,52,0,52
rust,8,0,8
hfsplus-tools,4,4,0
netsniff-ng,17,4,13
hwloc_2.7.1,47,43,4
sassc,3,2,1
libvpx,10,10,0
rubygem-sdoc,7,0,7
bird,9,2,7
figlet,1,1,0
gyp,2,2,0
createrepo_c,1,1,0
jq-issue,5,5,0
python-keyring_23.4.0,1,1,0
kmod-kvdo-issue,2,0,2
aspell,3,2,1
baws-sdk-java,1,0,1
jtidy,4,4,0
perl-Module-ScanDeps,1,1,0
rubygem-bacon,2,2,0
lighttpd_1.4.63,1,1,0
Echarts,1,0,1
libiodbc_22.03,1,1,0
selinux,17,0,17
systools,1,0,1
